YYYY,MM,DD,DATE,CO2(ppm),SD(ppm),GR(ppm/yr),Source
1990,9,15,1990.7041,351.773,0.154,1.64999,in situ
1990,10,15,1990.7863,351.784,0.139,1.52899,in situ
1990,11,15,1990.8712,351.808,0.129,1.67099,in situ
1990,12,15,1990.9534,351.614,0.15,1.76199,in situ
1991,1,15,1991.0384,351.454,0.181,1.48599,in situ
1991,2,15,1991.1233,351.551,0.184,1.45502,in situ
1991,3,15,1991.2,351.705,0.115,1.55499,in situ
1991,4,15,1991.2849,351.879,0.155,2.14902,in situ
1991,5,15,1991.3671,352.283,0.174,1.879,in situ
1991,6,15,1991.4521,352.654,0.218,1.95099,in situ
1991,7,15,1991.5342,352.86,0.125,1.90298,in situ
1991,8,15,1991.6192,353.191,0.136,1.68802,in situ
1991,9,15,1991.7041,353.328,0.135,1.46402,in situ
1991,10,15,1991.786301,353.933,0.1627,1.478,flask
1991,11,15,1991.871233,353.687,0.1113,1.452,flask
1991,12,15,1991.953425,353.565,0.4484,1.51901,flask
1992,1,15,1992.038251,353.357,0.2083,1.83102,flask
1992,2,15,1992.122951,353.239,0.6107,1.69199,flask
1992,3,15,1992.202186,353.169,0.0859,1.68298,flask
1992,4,15,1992.286885,353.357,0.1913,1.13699,flask
1992,5,15,1992.368852,353.735,0.1576,1.15997,flask
1992,6,15,1992.453552,354.173,0.2228,1.022,flask
1992,7,15,1992.535519,354.691,0.1844,0.907013,flask
1992,8,15,1992.620219,354.883,0.2297,0.949982,flask
1992,9,15,1992.704918,355.011,0.1908,1.23599,flask
1992,10,15,1992.786885,355.07,0.1461,0.985016,flask
1992,11,15,1992.871585,354.847,0.1077,0.576019,flask
1992,12,15,1992.953552,354.587,0.2248,0.571991,flask
1993,1,15,1993.038356,354.264,0.1826,0.530975,flask
1993,2,15,1993.123288,354.189,0.1206,0.757996,flask
1993,3,15,1993.2,354.405,0.1234,0.853027,flask
1993,4,15,1993.284932,354.342,0.1857,0.839996,flask
1993,5,15,1993.367123,354.311,0.2047,0.961029,flask
1993,6,15,1993.452055,354.745,0.2452,0.89798,flask
1993,7,15,1993.534247,355.222,0.3411,0.871002,flask
1993,8,15,1993.619178,355.641,0.2374,0.933014,flask
1993,9,15,1993.70411,355.864,0.0996,1.02899,flask
1993,10,15,1993.786301,355.91,0.2112,1.383,flask
1993,11,15,1993.871233,355.808,0.2144,1.63699,flask
1993,12,15,1993.953425,355.485,0.1163,1.46701,flask
1994,1,15,1994.038356,355.135,0.0728,1.47702,flask
1994,2,15,1994.123288,355.122,0.3491,1.62402,flask
1994,3,15,1994.2,355.434,0.3269,1.72098,flask
1994,4,15,1994.284932,355.725,0.1915,1.69598,flask
1994,5,15,1994.367123,355.948,0.2299,1.68597,flask
1994,6,15,1994.452055,356.212,0.1995,1.979,flask
1994,7,15,1994.534247,356.699,0.2713,2.41699,flask
1994,8,15,1994.619178,357.265,0.1911,2.53699,flask
1994,9,15,1994.70411,357.585,0.1013,2.24301,flask
1994,10,15,1994.786301,357.606,0.152,1.92801,flask
1994,11,15,1994.871233,357.494,0.1174,1.97601,flask
1994,12,15,1994.953425,357.464,0.2186,2.11398,flask
1995,1,15,1995.038356,357.552,0.2121,1.91599,flask
1995,2,15,1995.123288,357.659,0.3402,1.68298,flask
1995,3,15,1995.2,357.677,0.1719,1.64301,flask
1995,4,15,1995.284932,357.653,0.1483,1.73401,flask
1995,5,15,1995.367123,357.924,0.1967,1.914,flask
1995,6,15,1995.452055,358.326,0.1794,2.20102,flask
1995,7,15,1995.534247,358.615,0.1717,2.01001,flask
1995,8,15,1995.619178,358.948,0.1716,1.55701,flask
1995,9,15,1995.70411,359.228,0.1863,1.52899,flask
1995,10,15,1995.786301,359.34,0.2115,1.60098,flask
1995,11,15,1995.871233,359.408,0.1586,1.517,flask
1995,12,15,1995.953425,359.665,0.1832,1.599,flask
1996,1,15,1996.038251,359.562,0.21,1.73401,flask
1996,2,15,1996.122951,359.216,0.1332,1.737,flask
1996,3,15,1996.202186,359.206,0.2885,1.59201,flask
1996,4,15,1996.286885,359.254,0.1738,1.353,flask
1996,5,15,1996.368852,359.441,0.1438,1.134,flask
1996,6,15,1996.453552,359.925,0.2337,0.746979,flask
1996,7,15,1996.535519,360.349,0.1532,0.867981,flask
1996,8,15,1996.620219,360.685,0.1796,1.33099,flask
1996,9,15,1996.704918,360.82,0.1863,1.383,flask
1996,10,15,1996.786885,360.693,0.1532,1.39902,flask
1996,11,15,1996.871585,360.542,0.2113,1.37598,flask
1996,12,15,1996.953552,360.412,0.1537,1.09702,flask
1997,1,15,1997.038356,360.43,0.2094,1.07101,flask
1997,2,15,1997.123288,360.547,0.2517,1.19601,flask
1997,3,15,1997.2,360.589,0.1831,1.32001,flask
1997,4,15,1997.284932,360.653,0.1601,1.58301,flask
1997,5,15,1997.367123,360.817,0.178,1.70599,flask
1997,6,15,1997.452055,361.022,0.1489,1.776,flask
1997,7,15,1997.534247,361.42,0.2511,1.73599,flask
1997,8,15,1997.619178,361.881,0.1764,1.759,flask
1997,9,15,1997.70411,362.14,0.1398,2.013,flask
1997,10,15,1997.786301,362.276,0.1993,2.22998,flask
1997,11,15,1997.871233,362.248,0.1809,2.431,flask
1997,12,15,1997.953425,362.188,0.158,2.64999,flask
1998,1,15,1998.038356,362.166,0.1925,2.77197,flask
1998,2,15,1998.123288,362.306,0.1758,2.92999,flask
1998,3,15,1998.2,362.602,0.1662,3.04199,flask
1998,4,15,1998.284932,362.883,0.1247,2.92801,flask
1998,5,15,1998.367123,363.248,0.2124,2.82602,flask
1998,6,15,1998.452055,363.672,0.1792,2.802,flask
1998,7,15,1998.534247,364.192,0.1972,2.96701,flask
1998,8,15,1998.619178,364.811,0.1772,2.879,flask
1998,9,15,1998.70411,365.182,0.2029,2.39502,flask
1998,10,15,1998.786301,365.204,0.1682,2.17502,flask
1998,11,15,1998.871233,365.074,0.1643,2.048,flask
1998,12,15,1998.953425,364.99,0.0806,1.77499,flask
1999,1,15,1999.038356,365.133,0.2092,1.54703,flask
1999,2,15,1999.123288,365.185,0.1735,1.36398,flask
1999,3,15,1999.2,364.997,0.1709,1.354,flask
1999,4,15,1999.284932,365.058,0.1697,1.48798,flask
1999,5,15,1999.367123,365.296,0.1628,1.556,flask
1999,6,15,1999.452055,365.447,0.2415,1.647,flask
1999,7,15,1999.534247,365.739,0.2416,1.556,flask
1999,8,15,1999.619178,366.175,0.2162,1.30899,flask
1999,9,15,1999.70411,366.536,0.1428,1.26498,flask
1999,10,15,1999.786301,366.692,0.2954,1.142,flask
1999,11,15,1999.871233,366.63,0.1826,1.12402,flask
1999,12,15,1999.953425,366.637,0.1249,1.422,flask
2000,1,15,2000.038251,366.689,0.1787,1.53699,flask
2000,2,15,2000.122951,366.494,0.3051,1.34601,flask
2000,3,15,2000.202186,366.262,0.2029,1.20398,flask
2000,4,15,2000.286885,366.2,0.2239,1.17502,flask
2000,5,15,2000.368852,366.42,0.1819,1.16599,flask
2000,6,15,2000.453552,366.869,0.1563,1.06302,flask
2000,7,15,2000.535519,367.276,0.1614,0.959991,flask
2000,8,15,2000.620219,367.521,0.1893,1.09802,flask
2000,9,15,2000.704918,367.74,0.2072,1.31799,flask
2000,10,15,2000.786885,367.867,0.0732,1.54898,flask
2000,11,15,2000.871585,367.796,0.0525,1.56097,flask
2000,12,15,2000.953552,367.7,0.1342,1.35602,flask
2001,1,15,2001.038356,367.649,0.1441,1.36301,flask
2001,2,15,2001.123288,367.592,0.0373,1.66602,flask
2001,3,15,2001.2,367.58,0.139,1.948,flask
2001,4,15,2001.284932,367.749,0.1793,1.92599,flask
2001,5,15,2001.367123,367.981,0.1934,1.75,flask
2001,6,15,2001.452055,368.225,0.2252,1.69,flask
2001,7,15,2001.534247,368.639,0.1713,1.82001,flask
2001,8,15,2001.619178,369.187,0.2661,1.939,flask
2001,9,15,2001.70411,369.688,0.2504,2.005,flask
2001,10,15,2001.786301,369.793,0.2208,2.00201,flask
2001,11,15,2001.871233,369.546,0.2337,2.02002,flask
2001,12,15,2001.953425,369.39,0.2059,2.23898,flask
2002,1,15,2002.038356,369.469,0.2291,2.40198,flask
2002,2,15,2002.123288,369.531,0.1661,2.34399,flask
2002,3,15,2002.2,369.585,0.148,2.18301,flask
2002,4,15,2002.284932,369.751,0.0836,2.215,flask
2002,5,15,2002.367123,370.001,0.1521,2.34802,flask
2002,6,15,2002.452055,370.464,0.2054,2.31097,flask
2002,7,15,2002.534247,371.041,0.2212,2.20599,flask
2002,8,15,2002.619178,371.531,0.2034,2.22198,flask
2002,9,15,2002.70411,371.871,0.1428,2.367,flask
2002,10,15,2002.786301,372.008,0.0919,2.487,flask
2002,11,15,2002.871233,371.894,0.1113,2.52399,flask
2002,12,15,2002.953425,371.701,0.2226,2.40402,flask
2003,1,15,2003.038356,371.675,0.0558,2.29202,flask
2003,2,15,2003.123288,371.753,0.1011,2.33701,flask
2003,3,15,2003.2,371.952,0.1421,2.29099,flask
2003,4,15,2003.284932,372.238,0.2829,2.082,flask
2003,5,15,2003.367123,372.525,0.1045,1.97897,flask
2003,6,15,2003.452055,372.868,0.2569,1.98801,flask
2003,7,15,2003.534247,373.333,0.1705,1.98602,flask
2003,8,15,2003.619178,373.868,0.1587,2.04001,flask
2003,9,15,2003.70411,374.162,0.1713,1.92599,flask
2003,10,15,2003.786301,374.09,0.1172,1.78,flask
2003,11,15,2003.871233,373.873,0.1411,1.879,flask
2003,12,15,2003.953425,373.689,0.1073,2.01498,flask
2004,1,15,2004.038251,373.661,0.2714,1.95499,flask
2004,2,15,2004.122951,373.793,0.2733,1.75998,flask
2004,3,15,2004.202186,373.878,0.0759,1.62003,flask
2004,4,15,2004.286885,374.018,0.1872,1.71802,flask
2004,5,15,2004.368852,374.404,0.2436,1.92603,flask
2004,6,15,2004.453552,374.883,0.1927,1.927,flask
2004,7,15,2004.535519,375.288,0.1701,1.806,flask
2004,8,15,2004.620219,375.628,0.1358,1.71799,flask
2004,9,15,2004.704918,375.782,0.118,1.659,flask
2004,10,15,2004.786885,375.808,0.1507,1.65799,flask
2004,11,15,2004.871585,375.799,0.1416,1.87302,flask
2004,12,15,2004.953552,375.616,0.1014,2.15201,flask
2005,1,15,2005.038356,375.467,0.2616,2.11801,flask
2005,2,15,2005.123288,375.511,0.0994,2.06,flask
2005,3,15,2005.2,375.537,0.1753,2.181,flask
2005,4,15,2005.284932,375.676,0.099,2.23398,flask
2005,5,15,2005.367123,376.277,0.336,2.18597,flask
2005,6,15,2005.452055,377.035,0.3044,2.254,flask
2005,7,15,2005.534247,377.406,0.2714,2.495,flask
2005,8,15,2005.619178,377.688,0.1195,2.58102,flask
2005,9,15,2005.70411,377.963,0.0513,2.56702,flask
2005,10,15,2005.786301,378.042,0.1044,2.492,flask
2005,11,15,2005.871233,377.985,0.0366,2.013,flask
2005,12,15,2005.953425,377.87,0.0742,1.48599,flask
2006,1,15,2006.038356,377.962,0.2367,1.51099,flask
2006,2,15,2006.123288,378.092,0.2059,1.67902,flask
2006,3,15,2006.2,378.104,0.1071,1.625,flask
2006,4,15,2006.284932,378.168,0.2055,1.48001,flask
2006,5,15,2006.367123,378.29,0.1142,1.49301,flask
2006,6,15,2006.452055,378.521,0.0958,1.67902,flask
2006,7,15,2006.534247,378.917,0.1848,1.51801,flask
2006,8,15,2006.619178,379.367,0.1413,1.35498,flask
2006,9,15,2006.70411,379.588,0.0875,1.44699,flask
2006,10,15,2006.786301,379.522,0.1371,1.58401,flask
2006,11,15,2006.871233,379.478,0.2461,1.83499,flask
2006,12,15,2006.953425,379.549,0.1133,1.98901,flask
2007,1,15,2007.038356,379.48,0.1791,2.10202,flask
2007,2,15,2007.123288,379.447,0.0658,2.06799,flask
2007,3,15,2007.2,379.551,0.1564,2.05399,flask
2007,4,15,2007.284932,379.752,0.0895,2.25101,flask
2007,5,15,2007.367123,380.125,0.1605,2.271,flask
2007,6,15,2007.452055,380.51,0.1512,2.15198,flask
2007,7,15,2007.534247,381.019,0.177,2.28799,flask
2007,8,15,2007.619178,381.435,0.1033,2.39801,flask
2007,9,15,2007.70411,381.642,0.3885,2.297,flask
2007,10,15,2007.786301,381.773,0.1517,2.194,flask
2007,11,15,2007.871233,381.749,0.1275,2.08899,flask
2007,12,15,2007.953425,381.701,0.2185,2.202,flask
2008,1,15,2008.038251,381.768,0.0738,2.04099,flask
2008,2,15,2008.122951,381.845,0.1896,1.98599,flask
2008,3,15,2008.202186,381.848,0.0816,2.17999,flask
2008,4,15,2008.286885,381.946,0.2098,2.00998,flask
2008,5,15,2008.368852,382.214,0.1457,1.88,flask
2008,6,15,2008.453552,382.712,0.2009,2.00302,flask
2008,7,15,2008.535519,383.06,0.1048,2.181,flask
2008,8,15,2008.620219,383.421,0.2623,2.06699,flask
2008,9,15,2008.704918,383.822,0.1521,1.73199,flask
2008,10,15,2008.786885,383.783,0.1452,1.53998,flask
2008,11,15,2008.871585,383.629,0.2605,1.49902,flask
2008,12,15,2008.953552,383.704,0.1382,1.28799,flask
2009,1,15,2009.038356,383.949,0.1578,1.34302,flask
2009,2,15,2009.123288,383.912,0.0778,1.44601,flask
2009,3,15,2009.2,383.58,0.2211,1.267,flask
2009,4,15,2009.284932,383.486,0.0977,1.431,flask
2009,5,15,2009.367123,383.713,0.1461,1.56,flask
2009,6,15,2009.452055,384,0.1984,1.39999,flask
2009,7,15,2009.534247,384.403,0.1831,1.12399,flask
2009,8,15,2009.619178,384.867,0.1112,0.903015,flask
2009,9,15,2009.70411,385.089,0.1673,1.13501,flask
2009,10,15,2009.786301,385.214,0.0783,1.52802,flask
2009,11,15,2009.871233,385.189,0.1589,1.68399,flask
2009,12,15,2009.953425,385.104,0.2049,1.89899,flask
2010,1,15,2010.038356,385.073,0.1749,2.16199,flask
2010,2,15,2010.123288,384.815,0.1486,2.34,flask
2010,3,15,2010.2,384.715,0.0703,2.46402,flask
2010,4,15,2010.284932,385.014,0.1467,2.336,flask
2010,5,15,2010.367123,385.397,0.142,2.20999,flask
2010,6,15,2010.452055,385.899,0.2112,2.05099,flask
2010,7,15,2010.534247,386.565,0.3425,1.939,flask
2010,8,15,2010.619178,387.207,0.1714,2.26901,flask
2010,9,15,2010.70411,387.553,0.1473,2.42001,flask
2010,10,15,2010.786301,387.55,0.1172,2.133,flask
2010,11,15,2010.871233,387.399,0.1841,1.99799,flask
2010,12,15,2010.953425,387.155,0.1309,1.92401,flask
2011,1,15,2011.038356,387.012,0.1284,1.62601,flask
2011,2,15,2011.123288,387.084,0.1816,1.418,flask
2011,3,15,2011.2,387.135,0.1706,1.564,flask
2011,4,15,2011.284932,387.147,0.0266,1.703,flask
2011,5,15,2011.367123,387.395,0.1288,1.66101,flask
2011,6,15,2011.452055,387.823,0.1181,1.77301,flask
2011,7,15,2011.534247,388.191,0.1151,1.79602,flask
2011,8,15,2011.619178,388.625,0.1615,1.694,flask
2011,9,15,2011.70411,389.117,0.1793,1.67499,flask
2011,10,15,2011.786301,389.253,0.1632,1.83899,flask
2011,11,15,2011.871233,389.06,0.0979,1.87802,flask
2011,12,15,2011.953425,388.928,0.0615,1.87302,flask
2012,1,15,2012.038251,388.808,0.0691,2.17099,flask
2012,2,15,2012.122951,388.778,0.1417,2.40701,flask
2012,3,15,2012.202186,388.81,0.1293,2.34201,flask
2012,4,15,2012.286885,388.986,0.0922,2.245,flask
2012,5,15,2012.368852,389.273,0.1139,2.23801,flask
2012,6,15,2012.453552,389.696,0.2138,2.28699,flask
2012,7,15,2012.535519,390.362,0.2244,2.46298,flask
2012,8,15,2012.620219,391.032,0.1998,2.69199,flask
2012,9,15,2012.704918,391.459,0.1098,2.978,flask
2012,10,15,2012.786885,391.498,0.0776,3.14401,flask
2012,11,15,2012.871585,391.298,0.1817,3.18198,flask
2012,12,15,2012.953552,391.215,0.0638,3.099,flask
2013,1,15,2013.03836,391.271,0.15,2.99899,in situ
2013,2,15,2013.12329,391.47,0.214,2.819,in situ
2013,3,15,2013.2,391.788,0.198,2.59598,in situ
2013,4,15,2013.28493,392.13,0.172,2.61801,in situ
2013,5,15,2013.36712,392.455,0.151,2.77798,in situ
2013,6,15,2013.45205,392.795,0.188,2.69699,in situ
2013,7,15,2013.53425,393.361,0.226,2.49301,in situ
2013,8,15,2013.61918,393.851,0.118,2.33801,in situ
2013,9,15,2013.70411,394.055,0.113,2.18802,in situ
2013,10,15,2013.7863,394.116,0.101,2.03,in situ
2013,11,15,2013.87123,394.076,0.112,1.897,in situ
2013,12,15,2013.95342,393.912,0.166,1.95499,in situ
2014,1,15,2014.03836,393.764,0.155,1.92502,in situ
2014,2,15,2014.12329,393.808,0.183,1.90399,in situ
2014,3,15,2014.2,393.976,0.166,1.939,in situ
2014,4,15,2014.28493,394.16,0.098,1.87799,in situ
2014,5,15,2014.36712,394.352,0.111,1.87802,in situ
2014,6,15,2014.45205,394.75,0.183,1.97302,in situ
2014,7,15,2014.53425,395.286,0.203,2.15399,in situ
2014,8,15,2014.61918,395.755,0.147,2.25,in situ
2014,9,15,2014.70411,395.994,0.131,2.202,in situ
2014,10,15,2014.7863,395.994,0.141,2.328,in situ
2014,11,15,2014.87123,395.954,0.094,2.57202,in situ
2014,12,15,2014.95342,395.885,0.165,2.492,in situ
2015,1,15,2015.03836,395.918,0.176,2.444,in situ
2015,2,15,2015.12329,396.058,0.175,2.565,in situ
2015,3,15,2015.2,396.178,0.141,2.51901,in situ
2015,4,15,2015.28493,396.488,0.164,2.56802,in situ
2015,5,15,2015.36712,396.924,0.153,2.73499,in situ
